"11Giraffes","https://manage.11giraffes.com/","{\"learned_xpath_password_xpath\": \"/html/body/form/div[2]/div[6]/div/table/tbody/tr[1]/td/div/table/tbody/tr[1]/td/table/tbody/tr[4]/td/input\", \"learned_xpath_username_xpath\": \"/html/body/form/div[2]/div[6]/div/table/tbody/tr[1]/td/div/table/tbody/tr[1]/td/table/tbody/tr[2]/td/input\", \"learned_xpath_username\": \"#ctl00_ContentPlaceHolder1_LoginView1_Login1_UserName\", \"learned_doc_id_username\": \"-1\", \"learned_xpath_click_xpath\": \"/html/body/form/div[2]/div[6]/div/table/tbody/tr[1]/td/div/table/tbody/tr[1]/td/table/tbody/tr[7]/td/input\", \"learned_xpath_click\": \"#ctl00_ContentPlaceHolder1_LoginView1_Login1_LoginButton\", \"learned_doc_id_password\": \"-1\", \"learned_doc_id_click\": \"-1\", \"learned_xpath_password\": \"#ctl00_ContentPlaceHolder1_LoginView1_Login1_Password\"}"
"Acunetix","https://erp.acunetix.com/panel/login.aspx","{\"learned_xpath_click\": \"#Main_LoginBtn\", \"learned_xpath_password\": \"#Main_tbPassword\", \"learned_xpath_username\": \"#Main_tbLogin\"}"
"AdaptivePlanning","https://login.adaptiveinsights.com/app","{\"learned_xpath_click\": \"#submit\", \"learned_xpath_password\": \"#inputPassword\", \"learned_xpath_username\": \"#inputEmail\"}"
"AdDataExpress","http://www.addataexpress.com/signin/","{\"learned_xpath_click\": \"INPUT[class\\u003d\\u0027wpcf7-form-control wpcf7-submit\\u0027][type\\u003d\\u0027submit\\u0027]\", \"learned_xpath_password\": \"INPUT[name\\u003d\\u0027password\\u0027][size\\u003d\\u002740\\u0027][class\\u003d\\u0027wpcf7-form-control wpcf7-text wpcf7-email wpcf7-validates-as-required wpcf7-validates-as-email logininput\\u0027][aria-required\\u003d\\u0027true\\u0027][aria-invalid\\u003d\\u0027false\\u0027][type\\u003d\\u0027password\\u0027]\", \"learned_xpath_username\": \"INPUT[name\\u003d\\u0027username\\u0027][size\\u003d\\u002740\\u0027][class\\u003d\\u0027wpcf7-form-control wpcf7-text wpcf7-validates-as-required logininput\\u0027][aria-required\\u003d\\u0027true\\u0027][aria-invalid\\u003d\\u0027false\\u0027][type\\u003d\\u0027text\\u0027]\"}"
"Addison Lee","https://classic.addisonlee.com/addlee/open/login/commonLogin.html","{\"learned_xpath_click_xpath\": \"/html/body/div[3]/div/div[2]/div[2]/form/div[2]/button\", \"learned_xpath_click\": \"BUTTON[class\\u003d\\u0027btn btn-primary btn-expandable min-width100 margin-right10 margin-right0-phone\\u0027][tabindex\\u003d\\u00277\\u0027]\", \"learned_xpath_password\": \"#password\", \"learned_xpath_username\": \"#email\"}"
"AddThis","https://www.addthis.com/login#.Ue8YO22DVsY","{\"learned_xpath_click\": \"#sign_in_submit\", \"learned_xpath_password\": \"#password\", \"learned_xpath_username\": \"#eee\"}"
"Administration123","https://www.administration123.com/manage/","{\"learned_xpath_click\": \"BUTTON[name\\u003d\\u0027authenticate\\u0027][class\\u003d\\u0027btn btn-lg btn-primary btn-block\\u0027][type\\u003d\\u0027submit\\u0027]\", \"learned_xpath_password\": \"INPUT[name\\u003d\\u0027password\\u0027][type\\u003d\\u0027password\\u0027][class\\u003d\\u0027form-control\\u0027][placeholder\\u003d\\u0027Password\\u0027]\", \"learned_xpath_username\": \"INPUT[name\\u003d\\u0027username\\u0027][type\\u003d\\u0027text\\u0027][class\\u003d\\u0027form-control\\u0027][placeholder\\u003d\\u0027User Name\\u0027]\"}"
"AdminiTrack","https://issuetrack1.adminitrack.com/login.aspx","{\"learned_xpath_click\": \"#Button_Signin\", \"learned_xpath_password\": \"#TextBox_Passcode\", \"learned_xpath_username\": \"#TextBox_UserUID\"}"
"Adobe Marketing Cloud","https://my.omniture.com/login/","{\"learned_xpath_click\": \"#login_button\", \"learned_xpath_password\": \"#password_input_field\", \"learned_xpath_username\": \"#username_input_field\"}"
"Adometry - Attribute","https://beta.adometry.com/cas/login","{\"learned_xpath_click\": \"BUTTON[name\\u003d\\u0027submit\\u0027][type\\u003d\\u0027submit\\u0027]\", \"learned_xpath_password\": \"#password\", \"learned_xpath_username\": \"#username\"}"
"ADP - Client Service","http://www.adp.ca/en-ca/insights-and-resources/client-service-centre.aspx","{\"learned_xpath_username\": \"#documentbody_0_herobackgroundcontent_0_nestedtwocolumncentercontent_1_txtCompanyCode\", \"learned_doc_id_username\": \"-1\", \"learned_xpath_click\": \"#documentbody_0_herobackgroundcontent_0_nestedtwocolumncentercontent_1_lbGo\", \"learned_doc_id_password\": \"-1\", \"learned_doc_id_click\": \"-1\", \"learned_xpath_password\": \"#documentbody_0_herobackgroundcontent_0_nestedtwocolumncentercontent_1_txtEmail\"}"
